Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
795,-352.604,1.209,-98.325,-4.95
796,-353.588,1.1594,-98.46,-4.96
797,-354.574,1.1097,-98.595,-4.97
798,-355.561,1.0599,-98.73,-4.98
799,-356.55,1.01,-98.865,-4.99
800,-357.54,0.96,-99,-5
801,-358.531,0.9099,-99.135,-5.01
802,-359.524,0.8597,-99.27,-5.02
803,-360.518,0.8094,-99.405,-5.03
804,-361.514,0.759,-99.54,-5.04
805,-362.51,0.7085,-99.675,-5.05
806,-363.508,0.6579,-99.81,-5.06
807,-364.508,0.6072,-99.945,-5.07
808,-365.509,0.5564,-100.08,-5.08
809,-366.511,0.5055,-100.215,-5.09
810,-367.514,0.4545,-100.35,-5.1
811,-368.519,0.4034,-100.485,-5.11
812,-369.525,0.3522,-100.62,-5.12
813,-370.533,0.3009,-100.755,-5.13
814,-371.542,0.2495,-100.89,-5.14
815,-372.552,0.198,-101.025,-5.15
816,-373.564,0.1464,-101.16,-5.16
817,-374.577,0.0947,-101.295,-5.17
818,-375.591,0.0429,-101.43,-5.18
819,-376.607,-0.009,-101.565,-5.19
820,-377.624,-0.061,-101.7,-5.2
821,-378.642,-0.1131,-101.835,-5.21
822,-379.662,-0.1653,-101.97,-5.22
823,-380.683,-0.2176,-102.105,-5.23
824,-381.705,-0.27,-102.24,-5.24
825,-382.729,-0.3225,-102.375,-5.25
826,-383.754,-0.3751,-102.51,-5.26
827,-384.78,-0.4278,-102.645,-5.27
828,-385.808,-0.4806,-102.78,-5.28
829,-386.837,-0.5335,-102.915,-5.29
830,-387.868,-0.5865,-103.05,-5.3
831,-388.9,-0.6396,-103.185,-5.31
832,-389.933,-0.6928,-103.32,-5.32
833,-390.967,-0.7461,-103.455,-5.33
834,-392.003,-0.7995,-103.59,-5.34
835,-393.041,-0.853,-103.725,-5.35
836,-394.079,-0.9066,-103.86,-5.36
837,-395.119,-0.9603,-103.995,-5.37
838,-396.16,-1.0141,-104.13,-5.38
839,-397.203,-1.068,-104.265,-5.39
840,-398.247,-1.122,-104.4,-5.4
841,-399.292,-1.1761,-104.535,-5.41
842,-400.339,-1.2303,-104.67,-5.42
843,-401.387,-1.2846,-104.805,-5.43
844,-402.437,-1.339,-104.94,-5.44
845,-403.487,-1.3935,-105.075,-5.45
846,-404.539,-1.4481,-105.21,-5.46
847,-405.593,-1.5028,-105.345,-5.47
848,-406.648,-1.5576,-105.48,-5.48
849,-407.704,-1.6125,-105.615,-5.49
850,-408.761,-1.6675,-105.75,-5.5
851,-409.82,-1.7226,-105.885,-5.51
852,-410.88,-1.7778,-106.02,-5.52
853,-411.942,-1.8331,-106.155,-5.53
854,-413.005,-1.8885,-106.29,-5.54
855,-414.069,-1.944,-106.425,-5.55
856,-415.135,-1.9996,-106.56,-5.56
857,-416.202,-2.0553,-106.695,-5.57
858,-417.27,-2.1111,-106.83,-5.58
859,-418.34,-2.167,-106.965,-5.59
860,-419.411,-2.223,-107.1,-5.6
861,-420.483,-2.2791,-107.235,-5.61
862,-421.557,-2.3353,-107.37,-5.62
863,-422.632,-2.3916,-107.505,-5.63
864,-423.708,-2.448,-107.64,-5.64
865,-424.786,-2.5045,-107.775,-5.65
866,-425.865,-2.5611,-107.91,-5.66
867,-426.945,-2.6178,-108.045,-5.67
868,-428.027,-2.6746,-108.18,-5.68
869,-429.11,-2.7315,-108.315,-5.69
870,-430.195,-2.7885,-108.45,-5.7
871,-431.281,-2.8456,-108.585,-5.71
872,-432.368,-2.9028,-108.72,-5.72
873,-433.456,-2.9601,-108.855,-5.73
874,-434.546,-3.0175,-108.99,-5.74
875,-435.638,-3.075,-109.125,-5.75
876,-436.73,-3.1326,-109.26,-5.76
877,-437.824,-3.1903,-109.395,-5.77
878,-438.919,-3.2481,-109.53,-5.78
879,-440.016,-3.306,-109.665,-5.79
880,-441.114,-3.364,-109.8,-5.8
881,-442.213,-3.4221,-109.935,-5.81
882,-443.314,-3.4803,-110.07,-5.82
883,-444.416,-3.5386,-110.205,-5.83
884,-445.52,-3.597,-110.34,-5.84
885,-446.624,-3.6555,-110.475,-5.85
886,-447.73,-3.7141,-110.61,-5.86
887,-448.838,-3.7728,-110.745,-5.87
888,-449.947,-3.8316,-110.88,-5.88
889,-451.057,-3.8905,-111.015,-5.89
