Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
1209,-7.70787e+13,1.28465e+13,-1.27403e+13,2.12338e+12
1210,-7.72062e+13,1.28677e+13,-1.27508e+13,2.12514e+12
1211,-7.73338e+13,1.2889e+13,-1.27614e+13,2.12689e+12
1212,-7.74616e+13,1.29103e+13,-1.27719e+13,2.12865e+12
1213,-7.75894e+13,1.29316e+13,-1.27824e+13,2.13041e+12
1214,-7.77173e+13,1.29529e+13,-1.2793e+13,2.13216e+12
1215,-7.78454e+13,1.29742e+13,-1.28035e+13,2.13392e+12
1216,-7.79735e+13,1.29956e+13,-1.28141e+13,2.13568e+12
1217,-7.81017e+13,1.3017e+13,-1.28246e+13,2.13743e+12
1218,-7.82301e+13,1.30383e+13,-1.28351e+13,2.13919e+12
1219,-7.83586e+13,1.30598e+13,-1.28457e+13,2.14094e+12
1220,-7.84871e+13,1.30812e+13,-1.28562e+13,2.1427e+12
1221,-7.86158e+13,1.31026e+13,-1.28667e+13,2.14446e+12
1222,-7.87446e+13,1.31241e+13,-1.28773e+13,2.14621e+12
1223,-7.88734e+13,1.31456e+13,-1.28878e+13,2.14797e+12
1224,-7.90024e+13,1.31671e+13,-1.28984e+13,2.14973e+12
1225,-7.91315e+13,1.31886e+13,-1.29089e+13,2.15148e+12
1226,-7.92607e+13,1.32101e+13,-1.29194e+13,2.15324e+12
1227,-7.939e+13,1.32317e+13,-1.293e+13,2.15499e+12
1228,-7.95194e+13,1.32532e+13,-1.29405e+13,2.15675e+12
1229,-7.96489e+13,1.32748e+13,-1.2951e+13,2.15851e+12
1230,-7.97785e+13,1.32964e+13,-1.29616e+13,2.16026e+12
1231,-7.99083e+13,1.3318e+13,-1.29721e+13,2.16202e+12
1232,-8.00381e+13,1.33397e+13,-1.29827e+13,2.16378e+12
1233,-8.0168e+13,1.33613e+13,-1.29932e+13,2.16553e+12
